,Expert Group,Rep,Utilization
0,1,1,13.113487333333332
1,2,1,12.359991085714286
2,3,1,6.77819617647059
0,1,2,15.615269705882357
1,2,2,12.615627200000002
2,3,2,9.668149611111115
0,1,3,13.003760166666666
1,2,3,13.55595991666666
2,3,3,10.548299111111115
0,1,4,9.13799217647059
1,2,4,13.643182387096774
2,3,4,8.693096333333337
0,1,5,14.091695499999998
1,2,5,13.179270888888887
2,3,5,6.997198666666664
0,1,6,13.792646499999996
1,2,6,14.09606677777778
2,3,6,8.576118722222226
0,1,7,13.560733888888896
1,2,7,14.497952861111113
2,3,7,8.224425611111116
0,1,8,12.516385058823529
1,2,8,13.25049321212122
2,3,8,8.692769470588239
0,1,9,14.04073100000001
1,2,9,11.175069882352945
2,3,9,7.839821882352936
0,1,10,14.070928777777782
1,2,10,17.14589074285714
2,3,10,8.876717882352944
0,1,11,12.881927529411778
1,2,11,13.406552441176474
2,3,11,9.272329722222215
0,1,12,14.206359470588245
1,2,12,14.61307828571429
2,3,12,8.396511529411766
0,1,13,12.757392666666663
1,2,13,12.815828666666668
2,3,13,7.763007222222222
0,1,14,14.135382166666666
1,2,14,12.762666055555558
2,3,14,9.802682111111121
0,1,15,13.182314166666666
1,2,15,12.642967200000001
2,3,15,7.765125611111101
0,1,16,13.133584777777777
1,2,16,15.648662555555553
2,3,16,9.539394666666674
0,1,17,14.828534111111104
1,2,17,11.118668416666663
2,3,17,7.876932235294121
0,1,18,13.437749388888895
1,2,18,13.831779333333326
2,3,18,9.035826500000006
0,1,19,13.628211722222225
1,2,19,15.221092055555557
2,3,19,10.148272333333333
0,1,20,14.628612437500005
1,2,20,15.195582029411767
2,3,20,12.141429888888894
0,1,21,11.844865555555554
1,2,21,13.10809222222222
2,3,21,8.456067444444445
0,1,22,12.90370722222222
1,2,22,13.3775275
2,3,22,9.03580977777778
0,1,23,15.399964555555549
1,2,23,13.701984027777774
2,3,23,9.290359777777782
0,1,24,13.66305147058824
1,2,24,14.59330688571428
2,3,24,8.273592176470599
0,1,25,12.812201823529414
1,2,25,13.280423939393941
2,3,25,7.218424937500001
0,1,26,14.759596882352946
1,2,26,13.5538215
2,3,26,8.607349470588238
0,1,27,15.145103882352945
1,2,27,13.49971388235294
2,3,27,8.64262976470589
0,1,28,13.642297722222223
1,2,28,13.206354428571435
2,3,28,8.089774111111119
0,1,29,14.568977111111117
1,2,29,15.397437361111109
2,3,29,10.186666944444438
0,1,30,14.51668688888889
1,2,30,14.651374555555549
2,3,30,10.60478716666666
0,1,31,14.951843000000004
1,2,31,16.241786361111114
2,3,31,9.838517444444445
0,1,32,13.508617529411769
1,2,32,13.530902514285714
2,3,32,8.789958117647064
0,1,33,14.949033722222232
1,2,33,11.821462499999999
2,3,33,9.200212666666658
0,1,34,11.897178888888885
1,2,34,12.331469527777774
2,3,34,8.971705611111108
0,1,35,14.266884588235289
1,2,35,14.78013205714286
2,3,35,9.81774450000001
0,1,36,14.26795622222221
1,2,36,15.113023055555557
2,3,36,9.057548222222229
0,1,37,13.090535
1,2,37,13.979993058823526
2,3,37,8.118647588235294
0,1,38,14.490075000000008
1,2,38,13.6085888
2,3,38,9.436903294117652
0,1,39,13.469425999999988
1,2,39,13.85080991666666
2,3,39,8.617760944444449
0,1,40,13.864461388888891
1,2,40,13.720038138888885
2,3,40,8.098276333333335
0,1,41,13.897670666666665
1,2,41,12.722262249999998
2,3,41,10.226544833333339
0,1,42,13.933668444444438
1,2,42,14.007611777777784
2,3,42,9.04408188888889
0,1,43,11.627106833333333
1,2,43,15.205080666666671
2,3,43,6.993993333333332
0,1,44,14.496450000000012
1,2,44,9.649801029411769
2,3,44,7.142588823529414
0,1,45,13.308808499999987
1,2,45,16.229318305555562
2,3,45,7.727826944444445
0,1,46,10.584105222222226
1,2,46,10.321634599999998
2,3,46,6.449740944444445
0,1,47,13.276987058823536
1,2,47,13.16782915151515
2,3,47,7.675694411764706
0,1,48,13.649627647058825
1,2,48,16.871136916666668
2,3,48,12.193317333333328
0,1,49,13.035981055555562
1,2,49,12.412365055555556
2,3,49,7.00146766666667
0,1,50,13.539106999999998
1,2,50,12.89281997142857
2,3,50,9.660694705882355
